08:47:58.999 [MainThread] INFO    thonny: Thonny version: 4.1.4
08:47:59.000 [MainThread] INFO    thonny: cwd: /home/pi/.config/Thonny/leave_this_empty
08:47:59.000 [MainThread] INFO    thonny: original argv: ['/home/pi/venv/bin/python3', '-u', '-B', '/usr/lib/python3/dist-packages/thonny/plugins/cpython_backend/cp_launcher.py', '/home/pi', "{'run.warn_module_shadowing': True}"]
08:47:59.000 [MainThread] INFO    thonny: sys.executable: /home/pi/venv/bin/python3
08:47:59.000 [MainThread] INFO    thonny: sys.argv: ['/usr/lib/python3/dist-packages/thonny/plugins/cpython_backend/cp_launcher.py', '/home/pi', "{'run.warn_module_shadowing': True}"]
08:47:59.000 [MainThread] INFO    thonny: sys.path: ['/usr/lib/python3/dist-packages/thonny/plugins/cpython_backend', '/usr/lib/python311.zip', '/usr/lib/python3.11', '/usr/lib/python3.11/lib-dynload', '/home/pi/venv/lib/python3.11/site-packages', '/usr/local/lib/python3.11/dist-packages', '/usr/lib/python3/dist-packages', '/usr/lib/python3.11/dist-packages']
08:47:59.000 [MainThread] INFO    thonny: sys.flags: sys.flags(debug=0, inspect=0, interactive=0, optimize=0, dont_write_bytecode=1, no_user_site=0, no_site=0, ignore_environment=0, verbose=0, bytes_warning=0, quiet=0, hash_randomization=1, isolated=0, dev_mode=False, utf8_mode=0, warn_default_encoding=0, safe_path=False, int_max_str_digits=-1)
08:47:59.001 [MainThread] INFO    thonny: TIME/MODS 0.032 Before constructing backend (+26 modules)
08:47:59.001 [MainThread] INFO    thonny: NEW MODS ['_heapq', '_locale', '_posixsubprocess', '_queue', 'encodings.ascii', 'errno', 'faulthandler', 'fcntl', 'fnmatch', 'heapq', 'ipaddress', 'locale', 'math', 'ntpath', 'pathlib', 'queue', 'select', 'selectors', 'signal', 'subprocess', 'thonny.backend', 'thonny.plugins', 'thonny.plugins.cpython_backend', 'thonny.plugins.cpython_backend.cp_back', 'urllib', 'urllib.parse']
08:47:59.001 [MainThread] INFO    thonny: TIME/MODS 0.001 Before MainBackend 
08:47:59.002 [MainThread] INFO    thonny: TIME/MODS 0.000 After MainBackend 
08:47:59.031 [MainThread] INFO    thonny.backend: Loading plugins
08:47:59.031 [MainThread] INFO    thonny: TIME/MODS 0.029 Before loading plugins (+6 modules)
08:47:59.031 [MainThread] INFO    thonny: NEW MODS ['__future__', '_sysconfigdata__aarch64-linux-gnu', 'pkgutil', 'platform', 'pydoc', 'sysconfig']
08:47:59.032 [MainThread] INFO    thonny.common: Using THONNY_FRONTEND_SYS_PATH ['/usr/bin', '/usr/lib/python311.zip', '/usr/lib/python3.11', '/usr/lib/python3.11/lib-dynload', '/usr/local/lib/python3.11/dist-packages', '/usr/lib/python3/dist-packages', '/usr/lib/python3.11/dist-packages', '/home/pi/.config/Thonny/plugins/lib/python3.11/site-packages']
08:47:59.035 [MainThread] INFO    thonny.backend: Loading plugin 'thonny.plugins.backend.birdseye_backend'
08:47:59.037 [MainThread] INFO    thonny.backend: Loading plugin 'thonny.plugins.backend.dock_user_windows_backend'
08:47:59.038 [MainThread] INFO    thonny.backend: Loading plugin 'thonny.plugins.backend.flask_backend'
08:47:59.040 [MainThread] INFO    thonny.backend: Loading plugin 'thonny.plugins.backend.matplotlib_backend'
08:47:59.042 [MainThread] INFO    thonny.backend: Loading plugin 'thonny.plugins.backend.pgzero_backend'
08:47:59.047 [MainThread] INFO    thonny: TIME/MODS 0.016 After loading plugins (+6 modules)
