08:47:57.327 [MainThread] INFO    thonny: Thonny version: 4.1.4
08:47:57.328 [MainThread] INFO    thonny: cwd: /home/pi
08:47:57.328 [MainThread] INFO    thonny: original argv: ['/usr/bin/python3', '/usr/bin/thonny']
08:47:57.329 [MainThread] INFO    thonny: sys.executable: /usr/bin/python3
08:47:57.329 [MainThread] INFO    thonny: sys.argv: ['/usr/bin/thonny']
08:47:57.329 [MainThread] INFO    thonny: sys.path: ['/usr/bin', '/usr/lib/python311.zip', '/usr/lib/python3.11', '/usr/lib/python3.11/lib-dynload', '/usr/local/lib/python3.11/dist-packages', '/usr/lib/python3/dist-packages', '/usr/lib/python3.11/dist-packages']
08:47:57.329 [MainThread] INFO    thonny: sys.flags: sys.flags(debug=0, inspect=0, interactive=0, optimize=0, dont_write_bytecode=0, no_user_site=0, no_site=0, ignore_environment=0, verbose=0, bytes_warning=0, quiet=0, hash_randomization=1, isolated=0, dev_mode=False, utf8_mode=0, warn_default_encoding=0, safe_path=False, int_max_str_digits=-1)
08:47:57.468 [MainThread] INFO    thonny.workbench: Starting Workbench
08:47:57.719 [MainThread] INFO    thonny.workbench: Creating runner
08:47:57.727 [MainThread] INFO    thonny.workbench: Start loading plugins
08:47:57.932 [MainThread] INFO    thonny.workbench: Done loading plugins
08:47:58.184 [MainThread] INFO    thonny.workbench: Opening views
08:47:58.836 [MainThread] INFO    thonny.plugins.cpython_frontend.cp_front: Creating LocalCPythonProxy
08:47:58.837 [MainThread] INFO    thonny.running: Starting the backend: ['/home/pi/venv/bin/python3', '-u', '-B', '/usr/lib/python3/dist-packages/thonny/plugins/cpython_backend/cp_launcher.py', '/home/pi', "{'run.warn_module_shadowing': True}"] /home/pi
08:48:01.598 [MainThread] INFO    thonny.running: Killing backend process
08:48:01.599 [MainThread] INFO    thonny.shell: BaseShellText._on_backend_terminated
08:48:01.604 [Thread-2 (_listen_stdout)] INFO    thonny.running: Reader got EOF
